,simulation,total_demand,total_generation,capacity,max_power_charging,max_power_discharging,costs,ssr,scr
1,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.1,645.0171702326448,0.26034535215972876,0.897294700607759
2,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.2,646.9469202939415,0.2581324674988549,0.8896611462770283
3,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.3,649.3109899425598,0.25542153950481716,0.8803095444990072
4,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.4,650.3387102538861,0.25424303117971603,0.8762441688886374
5,Greedy,2180.1295108333334,631.9959149069084,1,0.6,0.5,650.8789751527211,0.25362349814721685,0.8741070312660213
6,Greedy,2180.1295108333334,631.9959149069084,2,0.6,0.1,637.2320204291893,0.26927274588194816,0.9272994428242213
7,Greedy,2180.1295108333334,631.9959149069084,2,0.6,0.2,638.222836250879,0.26813655670515135,0.9233800511069672
8,Greedy,2180.1295108333334,631.9959149069084,2,0.6,0.3,640.775067302251,0.2652098601044567,0.913284135171546
9,Greedy,2180.1295108333334,631.9959149069084,2,0.6,0.4,641.9800381397843,0.2638280949024978,0.9085176057956765
10,Greedy,2180.1295108333334,631.9959149069084,2,0.6,0.5,642.610686281006,0.2631049175200443,0.9060229372133859
11,Greedy,2180.1295108333334,631.9959149069084,3,0.6,0.1,636.2126161426504,0.27044171804790595,0.9305407782000183
12,Greedy,2180.1295108333334,631.9959149069084,3,0.6,0.2,637.0362984040385,0.2694971844120657,0.927282520345973
13,Greedy,2180.1295108333334,631.9959149069084,3,0.6,0.3,639.5076916091775,0.2666631862563845,0.9175063764388437
14,Greedy,2180.1295108333334,631.9959149069084,3,0.6,0.4,640.715599223049,0.2652780533917207,0.9127282299928762
15,Greedy,2180.1295108333334,631.9959149069084,3,0.6,0.5,641.348528435604,0.26455226025717316,0.9102245381270504
16,Greedy,2180.1295108333334,631.9959149069084,4,0.6,0.1,635.3012684636477,0.27148677944732524,0.9333546717008471
17,Greedy,2180.1295108333334,631.9959149069084,4,0.6,0.2,636.6714567540193,0.26991555594481886,0.9279345880497785
18,Greedy,2180.1295108333334,631.9959149069084,4,0.6,0.3,639.348118553622,0.26684617200879346,0.9173464586945558
19,Greedy,2180.1295108333334,631.9959149069084,4,0.6,0.4,640.5557595702712,0.26546134485672723,0.9125693668330244
20,Greedy,2180.1295108333334,631.9959149069084,4,0.6,0.5,641.1896040883817,0.2647345021222006,0.910062054273085
21,Greedy,2180.1295108333334,631.9959149069084,5,0.6,0.1,634.5764293483428,0.2723179675851206,0.9354307892157131
22,Greedy,2180.1295108333334,631.9959149069084,5,0.6,0.2,636.5104430116138,0.27010019376289973,0.9277803692618287
23,Greedy,2180.1295108333334,631.9959149069084,5,0.6,0.3,639.1898441809245,0.26702766853447113,0.9171814037222119
24,Greedy,2180.1295108333334,631.9959149069084,5,0.6,0.4,640.3929169381622,0.2656480799007921,0.9124223826238917
25,Greedy,2180.1295108333334,631.9959149069084,5,0.6,0.5,641.0289954562728,0.2649186753918513,0.9099062329815153
26,Greedy,2180.1295108333334,631.9959149069084,6,0.6,0.1,634.1894119383111,0.272761768524593,0.9361705780561972
27,Greedy,2180.1295108333334,631.9959149069084,6,0.6,0.2,636.3159457230439,0.2703232278620248,0.927758602066423
28,Greedy,2180.1295108333334,631.9959149069084,6,0.6,0.3,639.0302942431631,0.2672106277772234,0.9170213945303628
29,Greedy,2180.1295108333334,631.9959149069084,6,0.6,0.4,640.2349971316071,0.26582916983807603,0.9122559250865395
30,Greedy,2180.1295108333334,631.9959149069084,6,0.6,0.5,640.868339295095,0.26510290316407714,0.9097505997017178
31,Greedy,2180.1295108333334,631.9959149069084,7,0.6,0.1,634.0092702994222,0.2729683407006882,0.9360920239048067
32,Greedy,2180.1295108333334,631.9959149069084,7,0.6,0.2,636.1159457230439,0.2705525720351647,0.927758602066423
33,Greedy,2180.1295108333334,631.9959149069084,7,0.6,0.3,638.8494453650576,0.2674180109592852,0.9169456380205386
34,Greedy,2180.1295108333334,631.9959149069084,7,0.6,0.4,640.0682018795195,0.26602043743394455,0.9121245763423101
35,Greedy,2180.1295108333334,631.9959149069084,7,0.6,0.5,640.7093216644148,0.2652852519991923,0.9095884848511582
36,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.1,633.8184873506734,0.2731871154888381,0.9360555638145043
37,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.2,635.9227299035996,0.27077413664690475,0.9277317657356986
38,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.3,638.6815945456133,0.2676104889962668,0.916818464807084
39,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.4,639.9058621896646,0.26620659574363226,0.9119756026335532
40,Greedy,2180.1295108333334,631.9959149069084,8,0.6,0.5,640.54698197456,0.2654714103088799,0.9094395111424011
41,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.1,633.6186920280234,0.27341622495419005,0.9360547541678549
42,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.2,635.7408831397106,0.27098266412541605,0.9276599565843935
43,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.3,638.4815945456132,0.26783983316940674,0.9168184648070841
44,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.4,639.7248095646646,0.26641421256650943,0.9119006520897557
45,Greedy,2180.1295108333334,631.9959149069084,9,0.6,0.5,640.3809356134489,0.2656618191358395,0.9093051999938319
46,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.1,633.4186920280234,0.27364556912732996,0.9360547541678549
47,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.2,635.5595231952661,0.2711906333579128,0.9275862217108133
48,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.3,638.3035456011687,0.2680440056091171,0.9167316325387188
49,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.4,639.534253036887,0.2666327277130074,0.9118632963410892
50,Greedy,2180.1295108333334,631.9959149069084,10,0.6,0.5,640.2043985301156,0.2658642578928676,0.9092123872235542
